7.9_raw.csv_filtered_by_correlation15_SNR20_all_replacement_strategy_1,2022-11-26 23:05:48.265029
7.9_raw.csv_filtered_by_correlation15_SNR20_individual_replacement_strategy_1,2022-11-26 23:05:48.314918
7.6_raw.csv_filtered_by_correlation15_SNR20_all_replacement_strategy_1,2022-11-26 23:05:48.384736
7.6_raw.csv_filtered_by_correlation15_SNR20_individual_replacement_strategy_1,2022-11-26 23:05:48.446432
7.2_raw.csv_filtered_by_correlation15_SNR20_all_replacement_strategy_1,2022-11-26 23:05:48.520265
7.2_raw.csv_filtered_by_correlation15_SNR20_individual_replacement_strategy_1,2022-11-26 23:05:48.572108
Complete Duration,0:00:59.175967
Complete Duration,0:03:07.142715
Complete Duration,0:00:14.802348
Complete Duration,0:00:00.388882
Complete Duration,0:00:00.480544
Complete Duration,0:00:00.233568
7.9_raw.csv_filtered_by_correlation10_all_replacement_strategy_2,2022-11-30 16:53:45.062630
Complete Duration,0:00:00.399883
Complete Duration,0:00:00.683744
7.9_raw.csv_filtered_by_SNR10_all_replacement_strategy_2,2022-11-30 16:59:40.118513
Complete Duration,0:00:00.520811
Complete Duration,0:00:00.605769
7.9_raw.csv_filtered_by_correlation10_SNR20_all_replacement_strategy_3,2022-11-30 17:08:46.489350
Complete Duration,0:00:00.402210
Complete Duration,0:00:00.607871
7.9_raw.csv_filtered_by_correlation10_all_replacement_strategy_3,2022-11-30 17:13:43.553580
7.9_raw.csv_filtered_by_correlation10_all_replacement_strategy_3,2022-11-30 17:14:11.118123
Complete Duration,0:00:00.395550
Complete Duration,0:00:00.521098
Complete Duration,0:00:00.239710
7.9_raw.csv_filtered_by_correlation1_all_replacement_strategy_5,2022-11-30 17:16:53.784788
7.9_raw.csv_filtered_by_correlation1_all_replacement_strategy_5,2022-11-30 17:17:04.731004
Complete Duration,0:00:00.430443
Complete Duration,0:00:00.534756
Complete Duration,0:00:00.479060
Complete Duration,0:00:00.619231
7.9_raw.csv_filtered_by_SNR12_all_replacement_strategy_4,2022-11-30 17:28:25.129004
Complete Duration,0:00:00.360612
Complete Duration,0:00:00.459584
Complete Duration,0:00:00.175222
Complete Duration,0:00:00.088222
7.9_raw.csv_filtered_by_correlation12_all_replacement_strategy_4,2022-11-30 17:32:10.254644
7.9_raw.csv_filtered_by_correlation12_all_replacement_strategy_4,2022-11-30 17:32:27.927988
Complete Duration,0:00:00.445874
Complete Duration,0:00:00.513899
Complete Duration,0:00:00.201739
Complete Duration,0:00:00.054722
Complete Duration,0:00:00.553230
7.9_raw.csv_filtered_by_SNR9_all_replacement_strategy_3,2022-11-30 17:47:03.569285
7.9_raw.csv_filtered_by_SNR9_all_replacement_strategy_3,2022-11-30 17:47:13.770077
Complete Duration,0:00:00.352420
Complete Duration,0:00:00.629691
7.9_raw.csv_filtered_by_SNR4_all_replacement_strategy_2,2022-11-30 17:50:39.222389
7.9_raw.csv_filtered_by_SNR4_all_replacement_strategy_2,2022-11-30 17:50:45.935445
Complete Duration,0:00:00.250352
Complete Duration,0:00:00.248147
Complete Duration,0:00:00.310823
Complete Duration,0:00:00.415654
Complete Duration,0:00:00.125086
Complete Duration,0:00:00.408602
Complete Duration,0:00:00.590109
Complete Duration,0:00:00.246548
Complete Duration,0:00:00.250496
Complete Duration,0:00:00.433045
Complete Duration,0:00:00.537077
Complete Duration,0:00:00.235708
Complete Duration,0:00:00.276173
Complete Duration,0:00:00.369205
Complete Duration,0:00:00.468536
Complete Duration,0:00:00.241039
Complete Duration,0:00:00.247779
Complete Duration,0:00:00.379091
Complete Duration,0:00:00.622746
Complete Duration,0:00:00.252344
Complete Duration,0:00:00.247113
Complete Duration,0:00:00.366365
Complete Duration,0:00:00.505482
Complete Duration,0:00:00.242205
Complete Duration,0:00:00.239145
Complete Duration,0:00:00.239409
Complete Duration,0:00:00.265917
Complete Duration,0:00:00.248475
Complete Duration,0:00:00.250758
Complete Duration,0:00:00.277897
Complete Duration,0:00:00.235860
Complete Duration,0:00:00.225556
Complete Duration,0:00:00.224566
Complete Duration,0:00:00.405459
Complete Duration,0:00:00.503910
Complete Duration,0:00:00.174405
Complete Duration,0:00:00.325462
Complete Duration,0:00:00.372061
Complete Duration,0:00:00.061153
Complete Duration,0:00:00.064447
Complete Duration,0:00:00.061668
7.9_raw.csv_filtered_by_SNR10_all_replacement_strategy_1,2022-11-30 18:47:48.121740
7.9_raw.csv_filtered_by_SNR10_all_replacement_strategy_1,2022-11-30 18:47:50.322876
7.9_raw.csv_filtered_by_SNR10_all_replacement_strategy_1,2022-11-30 18:57:11.922815
Complete Duration,0:00:00.330305
Complete Duration,0:00:00.420384
Complete Duration,0:00:00.053766
Complete Duration,0:00:00.142543
Complete Duration,0:00:00.133316
Complete Duration,0:00:00.268302
Complete Duration,0:00:00.579021
Complete Duration,0:00:00.141338
Complete Duration,0:00:00.147048
Complete Duration,0:00:00.135680
Complete Duration,0:00:00.132794
Complete Duration,0:00:00.135894
Complete Duration,0:00:00.122496
Complete Duration,0:00:00.132863
Complete Duration,0:00:00.119473
Complete Duration,0:00:00.122230
Complete Duration,0:00:00.143495
Complete Duration,0:00:00.198143
Complete Duration,0:00:00.251544
Complete Duration,0:00:00.077838
Complete Duration,0:00:00.070901
Complete Duration,0:00:00.247004
Complete Duration,0:00:00.259555
Complete Duration,0:00:00.304979
Complete Duration,0:00:00.108360
Complete Duration,0:00:00.136395
Complete Duration,0:00:00.217859
Complete Duration,0:00:00.235429
Complete Duration,0:00:00.038613
Complete Duration,0:00:00.046871
Complete Duration,0:00:00.056532
7.9_raw.csv_filtered_by_SNR2_all_replacement_strategy_3,2022-11-30 19:11:55.650919
7.9_raw.csv_filtered_by_SNR2_all_replacement_strategy_3,2022-11-30 19:12:03.913272
Complete Duration,0:00:00.187804
Complete Duration,0:00:00.230167
Complete Duration,0:00:00.038659
Complete Duration,0:00:00.071108
Complete Duration,0:00:00.072703
Complete Duration,0:00:00.477006
Complete Duration,0:00:00.144693
UploadedFile(id=1, name='7.2_raw.csv', type='text/csv', size=18823)_filtered_by_SNR12_all_replacement_strategy_3,2022-11-30 21:31:45.254460
UploadedFile(id=1, name='7.2_raw.csv', type='text/csv', size=18823)_filtered_by_SNR12_individual_replacement_strategy_3,2022-11-30 21:31:45.452617
Complete Duration,0:00:00.649652
UploadedFile(id=1, name='7.2_raw.csv', type='text/csv', size=18823)_filtered_by_SNR12_all_replacement_strategy_3,2022-11-30 21:32:06.204730
UploadedFile(id=1, name='7.2_raw.csv', type='text/csv', size=18823)_filtered_by_SNR12_individual_replacement_strategy_3,2022-11-30 21:32:06.381237
Complete Duration,0:00:00.564061
UploadedFile(id=1, name='7.2_raw.csv', type='text/csv', size=18823)_filtered_by_SNR12_all_replacement_strategy_3,2022-11-30 21:32:12.279705
UploadedFile(id=1, name='7.2_raw.csv', type='text/csv', size=18823)_filtered_by_SNR12_individual_replacement_strategy_3,2022-11-30 21:32:12.472297
Complete Duration,0:00:00.584657
Complete Duration,0:00:00.163415
UploadedFile(id=1, name='7.2_raw.csv', type='text/csv', size=18823)_filtered_by_acceleration_1.5_all_replacement_strategy_2,2022-11-30 21:37:18.080225
UploadedFile(id=1, name='7.2_raw.csv', type='text/csv', size=18823)_filtered_by_acceleration_1.5_individual_replacement_strategy_2,2022-11-30 21:37:18.404722
Complete Duration,0:00:00.949594
